HSGPA,CollegeGPA
3.04,3.1
2.35,2.3
2.7,3
2.05,1.9
2.83,2.5
3.32,3.7
3.39,3.4
2.32,2.6
2.69,2.8
2.183,1.6
2.39,2
3.65,2.9
1.85,2.3
3.83,3.2
1.22,1.8
1.48,1.4
2.28,2
3,3.8
2.28,2.2
1.88,1.6
2.85,3.56
3.7,3.54
1.98,1.98
1.72,1.9
2.61,2.87
3.88,3.69
2.4,2.92
2.185,1.8
3.78,3.24
3.5,3.37
3.86,3.86
2.145,1.31
1.94,1.88
3.2,3.64
2.153,1.3
1.55,1.62
1.45,2.31
2.64,2.9
2.176,1.52
2.56,3.34
3.75,3.78
1.85,2.03
3,2.91
2.148,2.16
2.21,2.88
3.69,3.94
2.108,2.174
3.64,3.99
2.41,2.91
2.141,2.146
1.27,1.97
1.16,2.04
2.07,2.35
3.52,3.35
3.93,3.03
3.08,2.96
1.9,1.82
2.121,2.182
2.07,2.24
3.2,3.53
3.96,3.17
2.132,1.09
3.14,3.8
1.4,1.35
1.4,1.8
2.07,2.88
3.51,3.9
2.57,3
2.122,2.175
2.96,3.38
2.32,2.53
3.01,3.33
2.16,2.56
3.3,3.54
2.59,3.09
1.22,2.13
2.148,1.42
3.02,3.43
1.52,2.44
3.76,3.4
1.8,1.85
2.02,2.03
2.14,2.144
2.75,3.26
2.85,2.71
3.7,3.39
1.17,1.97
2.134,2.167
2.178,2.18
2.7,2.65
2.4,2.68
3.57,3.2
3.42,3.46
3.5,3.06
1.96,2.83
2.184,1.12
1.73,1.94
3.2,3.52
3.03,3.03
3.34,3.22
2.106,1.02
1.91,2.16
2.09,2.11
3.51,3.84
2.25,2.37
1.85,1.96
1.81,2.53
1.79,1.86
2.39,2.43
2.126,2.195
2.66,2.72
2.16,2.29
1.58,1.74
2.17,2.97
3.17,3.53
1.48,1.82
3.13,3.37
2.9,2.92
2.72,3.42
3.43,3.51
2.51,2.49
2.68,3.03
2.43,2.55
2.85,3.44
3.2,3.39
2.07,2.35
2.65,2.56
3.44,3.16
1.86,1.77
3.2,3.25
3,3.41
2.17,2.02
2.02,2.47
3.54,3.2
2.94,2.85
2.8,2.66
1.31,1.48
2.44,2.39
3.1,3
3.7,3.43
3.6,3.28
3,3.25
1.55,1.91
2.87,3.66
1.13,1.28
2.37,2.31
2.58,3.45
3.1,3.35
